No;Destination;Origin;Product;Year;dist_km;Euros
1;LU;BE;1;2007;139.5719386;2966697
2;BE;LU;1;2007;139.5719386;6755030
3;LU;BE;2;2007;139.5719386;57078782
4;BE;LU;2;2007;139.5719386;7117406
5;LU;BE;3;2007;139.5719386;17379821
6;BE;LU;3;2007;139.5719386;2622254
7;LU;BE;4;2007;139.5719386;64867588
8;BE;LU;4;2007;139.5719386;10731757
9;LU;BE;5;2007;139.5719386;330702
10;BE;LU;5;2007;139.5719386;7706
11;LU;BE;6;2007;139.5719386;9405744
12;BE;LU;6;2007;139.5719386;43019
13;LU;BE;7;2007;139.5719386;36595989
14;BE;LU;7;2007;139.5719386;5162727
15;LU;BE;8;2007;139.5719386;36530285
16;BE;LU;8;2007;139.5719386;1241762
17;LU;BE;9;2007;139.5719386;13232087
18;BE;LU;9;2007;139.5719386;4790336
19;LU;BE;10;2007;139.5719386;5005067
20;BE;LU;10;2007;139.5719386;4588369
21;LU;BE;11;2007;139.5719386;2096688
22;BE;LU;11;2007;139.5719386;4972395
23;LU;BE;12;2007;139.5719386;1848554
24;BE;LU;12;2007;139.5719386;284769
25;LU;BE;13;2007;139.5719386;212552
26;BE;LU;13;2007;139.5719386;8566
27;LU;BE;14;2007;139.5719386;46270
28;BE;LU;14;2007;139.5719386;127029
29;LU;BE;15;2007;139.5719386;10415809
30;BE;LU;15;2007;139.5719386;378789
31;LU;BE;16;2007;139.5719386;36205364
32;BE;LU;16;2007;139.5719386;3029387
33;LU;BE;17;2007;139.5719386;16943227
34;BE;LU;17;2007;139.5719386;458885
35;LU;BE;18;2007;139.5719386;26900412
36;BE;LU;18;2007;139.5719386;1616752
37;LU;BE;19;2007;139.5719386;53696879
38;BE;LU;19;2007;139.5719386;7608911
39;LU;BE;20;2007;139.5719386;30665763
40;BE;LU;20;2007;139.5719386;574553
195;LU;BE;1;2008;139.5719386;1839012
196;BE;LU;1;2008;139.5719386;11983496
197;LU;BE;2;2008;139.5719386;58936854
198;BE;LU;2;2008;139.5719386;3842225
199;LU;BE;3;2008;139.5719386;16852002
200;BE;LU;3;2008;139.5719386;4363988
201;LU;BE;4;2008;139.5719386;70462886
202;BE;LU;4;2008;139.5719386;9052158
203;LU;BE;5;2008;139.5719386;407569
204;BE;LU;5;2008;139.5719386;242741
205;LU;BE;6;2008;139.5719386;10590393
206;BE;LU;6;2008;139.5719386;71495
207;LU;BE;7;2008;139.5719386;36179948
208;BE;LU;7;2008;139.5719386;4618137
209;LU;BE;8;2008;139.5719386;38774737
210;BE;LU;8;2008;139.5719386;1730520
211;LU;BE;9;2008;139.5719386;14109483
212;BE;LU;9;2008;139.5719386;6464946
213;LU;BE;10;2008;139.5719386;4537742
214;BE;LU;10;2008;139.5719386;3484801
215;LU;BE;11;2008;139.5719386;2458481
216;BE;LU;11;2008;139.5719386;9448044
217;LU;BE;12;2008;139.5719386;1887194
218;BE;LU;12;2008;139.5719386;308838
219;LU;BE;13;2008;139.5719386;477900
220;BE;LU;13;2008;139.5719386;12328
221;LU;BE;14;2008;139.5719386;53807
222;BE;LU;14;2008;139.5719386;173375
